carrel,name,url
emma,Emma by Jane Austen,https://distantreader.org/stacks/carrels-patrons/ericleasemorgan/emma/index.htm
homer,The Iliad and the Odyssey by Homer,http://carrels.distantreader.org/author-homer-gutenberg/
moby,Moby Dick by Herman Melville,https://distantreader.org/stacks/carrels-patrons/ericleasemorgan/moby/index.htm
walden,Walden Pond by Henry David Thoreau,https://distantreader.org/stacks/carrels-patrons/ericleasemorgan/walden/index.htm
