carrel,name,url
emma,Emma by Jane Austen,http://carrels.distantreader.org/curated-emma_by_austen-gutenberg/
homer,Iliad and the Odyssey by Homer,http://carrels.distantreader.org/curated-iliad_and_odyssey_by_homer-gutenberg/
moby,Moby Dick by Herman Melville,http://carrels.distantreader.org/curated-moby_dick_by_melville-gutenberg/
walden,Walden by Henry David Thoreau,http://carrels.distantreader.org/curated-walden_by_thoreau-gutenberg/
